Key,Time(2025-04-22),mask,F8P
1745273809,06:16:49,1,0.274
1745273810,06:16:50,1,0.291
1745273811,06:16:51,1,0.309
1745273812,06:16:52,1,0.331
1745273813,06:16:53,1,0.355
1745273814,06:16:54,1,0.381
1745273815,06:16:55,1,0.407
1745273816,06:16:56,1,0.434
1745273817,06:16:57,1,0.461
1745273818,06:16:58,1,0.487
1745273819,06:16:59,1,0.513
1745273820,06:17:00,1,0.540
1745273821,06:17:01,1,0.566
1745273822,06:17:02,1,0.592
1745273823,06:17:03,1,0.618
1745273824,06:17:04,1,0.643
1745273825,06:17:05,1,0.668
1745273826,06:17:06,1,0.692
1745273827,06:17:07,1,0.715
1745273828,06:17:08,1,0.738
1745273829,06:17:09,1,0.760
1745273830,06:17:10,1,0.782
1745273831,06:17:11,1,0.804
1745273832,06:17:12,1,0.826
1745273833,06:17:13,1,0.847
1745273834,06:17:14,1,0.869
1745273835,06:17:15,1,0.890
1745273836,06:17:16,1,0.911
1745273837,06:17:17,1,0.932
1745273838,06:17:18,1,0.952
1745273839,06:17:19,1,0.971
1745273840,06:17:20,1,0.989
1745273841,06:17:21,1,1.007
1745273842,06:17:22,1,1.026
1745273843,06:17:23,1,1.044
1745273844,06:17:24,1,1.062
1745273845,06:17:25,1,1.080
1745273846,06:17:26,1,1.098
1745273847,06:17:27,1,1.115
1745273848,06:17:28,1,1.132
1745273849,06:17:29,1,1.149
1745273850,06:17:30,1,1.166
1745273851,06:17:31,1,1.183
1745273852,06:17:32,1,1.200
1745273853,06:17:33,1,1.217
1745273854,06:17:34,1,1.235
1745273855,06:17:35,1,1.252
